,feature_code,x,y,z
62311,701,5056547.294,2359014.099,1780.04
63443,701,5056543.793,2359014.101,1781.534
62377,701,5056546.986,2359014.109,1783.857
63982,701,5056542.74,2359014.114,1787.144
210582,701,5056543.713,2359014.119,1796.223
210217,701,5056545.118,2359014.136,1796.257
210435,701,5056543.932,2359014.146,1796.229
64208,701,5056542.539,2359014.146,1789.073
63043,701,5056545.075,2359014.15,1787.442
62380,701,5056547.043,2359014.155,1781.404
62439,701,5056546.613,2359014.16,1786.418
62677,701,5056546.291,2359014.167,1785.54
63442,701,5056543.902,2359014.171,1785.53
62379,701,5056547.082,2359014.18,1783.741
62112,701,5056547.403,2359014.181,1780.045
63045,701,5056545.144,2359014.208,1786.49
210218,701,5056545.196,2359014.21,1796.24
63690,701,5056543.793,2359014.214,1785.532
64209,701,5056542.634,2359014.216,1788.982
63691,701,5056543.762,2359014.218,1781.525
62383,701,5056547.107,2359014.218,1779.381
63759,701,5056543.261,2359014.227,1781.568
62441,701,5056546.723,2359014.237,1786.431
210583,701,5056543.867,2359014.242,1794.995
210490,701,5056544.556,2359014.242,1796.231
63123,701,5056544.854,2359014.243,1787.547
62382,701,5056547.16,2359014.248,1782.424
62114,701,5056547.497,2359014.255,1780.048
62381,701,5056547.178,2359014.258,1783.647
62113,701,5056547.505,2359014.262,1781.059
210219,701,5056545.29,2359014.28,1796.228
64210,701,5056542.714,2359014.287,1788.905
63125,701,5056544.928,2359014.307,1786.386
63758,701,5056543.393,2359014.309,1785.953
210350,701,5056544.994,2359014.312,1796.229
62442,701,5056546.821,2359014.313,1786.237
210491,701,5056544.65,2359014.316,1796.25
62386,701,5056547.266,2359014.325,1782.582
63990,701,5056542.97,2359014.332,1778.672
62385,701,5056547.275,2359014.333,1783.51
62909,701,5056546.107,2359014.337,1786.742
62116,701,5056547.605,2359014.339,1780.765
63760,701,5056543.425,2359014.344,1783.932
210220,701,5056545.384,2359014.35,1796.238
210351,701,5056545.04,2359014.357,1794.95
64211,701,5056542.809,2359014.357,1788.895
63989,701,5056543.015,2359014.36,1780.084
63387,701,5056544.664,2359014.374,1786.346
63988,701,5056543.049,2359014.381,1781.317
62443,701,5056546.9,2359014.383,1786.196
63386,701,5056544.697,2359014.391,1787.613
62387,701,5056547.375,2359014.413,1783.273
210221,701,5056545.462,2359014.416,1796.234
62118,701,5056547.701,2359014.417,1780.687
62681,701,5056546.616,2359014.419,1787.677
64012,701,5056542.905,2359014.432,1788.795
63762,701,5056543.534,2359014.444,1780.619
63761,701,5056543.562,2359014.45,1785.411
62444,701,5056546.993,2359014.453,1786.223
64018,701,5056542.883,2359014.466,1778.429
62389,701,5056547.467,2359014.487,1783.321
62712,701,5056546.301,2359014.488,1786.454
210708,701,5056543.678,2359014.489,1795.772
210222,701,5056545.556,2359014.49,1796.23
62683,701,5056546.723,2359014.496,1787.778
62120,701,5056547.799,2359014.497,1780.497
64013,701,5056542.985,2359014.503,1788.724
63992,701,5056543.232,2359014.507,1784.171
63448,701,5056544.35,2359014.512,1787.778
64017,701,5056542.96,2359014.515,1781.112
62445,701,5056547.102,2359014.531,1786.266
62966,701,5056545.986,2359014.537,1787.249
63991,701,5056543.272,2359014.537,1785.785
63695,701,5056544.224,2359014.555,1787.819
62391,701,5056547.563,2359014.557,1783.238
210709,701,5056543.783,2359014.558,1795.956
